added,anonymous,count,deleted,delta,geo,language,namespace,newPage,page,robot,time,unpatrolled,user
718,0,1,0,718,no_geo,en,article,1,Bill_Roberts_school,0,2013-02-26T00:00:00.000Z,1,Liam Broderick
19,0,1,0,19,no_geo,de,article,0,Bistum_Eichstätt,1,2013-02-26T00:00:00.000Z,0,MorbZ-Bot
61,0,1,0,61,no_geo,zh,article,0,BLACK★ROCK_SHOOTER,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
12,0,1,0,12,no_geo,en,article,0,"Bob_adamov,_author",0,2013-02-26T00:00:00.000Z,0,Safiel
3,0,1,0,3,no_geo,ca,article,0,Borís_Alterman,0,2013-02-26T00:00:00.000Z,0,CarlesMartin
0,0,1,-6,-6,no_geo,en,article,0,Brave_(2012_film),0,2013-02-26T00:00:00.000Z,0,GenQuest
42,0,1,0,42,no_geo,en,article,0,Britt_Assombalonga,0,2013-02-26T00:00:00.000Z,0,Mikemor92
1214,0,1,0,1214,no_geo,nl,article,1,Brugje_van_St_Jan,0,2013-02-26T00:00:00.000Z,1,Romaine
70,0,1,0,70,no_geo,sv,article,1,Bryconamericus_baudoensis,1,2013-02-26T00:00:00.000Z,0,Lsjbot
2252,0,1,0,2252,no_geo,sv,article,1,Bryconamericus_eigenmanni,1,2013-02-26T00:00:00.000Z,0,Lsjbot
59,0,1,0,59,no_geo,sv,article,1,Bryconamericus_jacunda,1,2013-02-26T00:00:00.000Z,0,Lsjbot
2020,0,1,0,2020,no_geo,sv,article,1,Bryconamericus_patriciae,1,2013-02-26T00:00:00.000Z,0,Lsjbot
2638,0,1,0,2638,no_geo,sv,article,1,Bryconamericus_tolimae,1,2013-02-26T00:00:00.000Z,0,Lsjbot
0,0,1,-210,-210,no_geo,en,article,0,Buff-breasted_Sabrewing,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-229,-229,no_geo,en,article,0,Bundesautobahn_553,1,2013-02-26T00:00:00.000Z,0,Addbot
7628,0,1,0,7628,no_geo,en,article,1,Cabalaza_Republic,0,2013-02-26T00:00:00.000Z,1,Greendot1111
0,0,1,-284,-284,no_geo,en,article,0,Campervan,0,2013-02-26T00:00:00.000Z,0,Delusion23
24,0,1,0,24,no_geo,vi,article,0,Canama_lacerans,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
0,0,1,-12,-12,no_geo,es,article,0,Carabobo,0,2013-02-26T00:00:00.000Z,0,GaboMillan96
19,0,1,0,19,no_geo,pl,article,0,Carnegiella,1,2013-02-26T00:00:00.000Z,0,EmausBot
44,0,1,0,44,no_geo,pt,wikipedia,0,Categoria:Objetivas_fotográficas,1,2013-02-26T00:00:00.000Z,0,EmausBot
37,0,1,0,37,no_geo,nl,wikipedia,0,Categorie:Italiaans_tennisser,1,2013-02-26T00:00:00.000Z,0,Makecat-bot
46,0,1,0,46,no_geo,fr,wikipedia,0,Catégorie:Titre_de_presse_créé_en_2005,1,2013-02-26T00:00:00.000Z,0,ZéroBot
246,0,1,0,246,no_geo,en,wikipedia,1,Category:1953_in_Peruvian_football,0,2013-02-26T00:00:00.000Z,0,Hugo999
272,0,1,0,272,no_geo,en,wikipedia,1,Category:Dealey-class_destroyer_escorts,1,2013-02-26T00:00:00.000Z,0,Cydebot
88,0,1,0,88,no_geo,en,wikipedia,1,Category:Italian-American_gangs,1,2013-02-26T00:00:00.000Z,0,Cydebot
141,0,1,0,141,no_geo,en,wikipedia,1,Category:Nelly_Furtado_album_and_single_covers,0,2013-02-26T00:00:00.000Z,0,Status
76,0,1,0,76,no_geo,en,wikipedia,1,Category:Swedish-American_culture,1,2013-02-26T00:00:00.000Z,0,Cydebot
40,0,1,0,40,no_geo,zh,wikipedia,0,Category:亚伯拉罕诸教,1,2013-02-26T00:00:00.000Z,0,Chobot
4907,0,1,0,4907,no_geo,it,article,1,Cattedrale_dei_Santi_Pietro_e_Paolo_(Peterhof),0,2013-02-26T00:00:00.000Z,1,Waldgang
18,0,2,0,18,no_geo,es,article,0,Central_Nuclear_Laguna_Verde,0,2013-02-26T00:00:00.000Z,0,Edslov
18,0,1,0,18,no_geo,de,article,0,Cessna_400,1,2013-02-26T00:00:00.000Z,0,MorbZ-Bot
283,0,1,0,283,no_geo,fr,article,0,Championnats_panaméricains_de_cyclisme,0,2013-02-26T00:00:00.000Z,0,Toïlev
0,0,1,-189,-189,no_geo,en,article,0,Charles_Lasègue,1,2013-02-26T00:00:00.000Z,0,Addbot
68,0,1,0,68,no_geo,sv,article,1,Cheirodon_mitopterus,1,2013-02-26T00:00:00.000Z,0,Lsjbot
0,0,1,-2,-2,no_geo,it,article,0,Chiesa_di_Santa_Lucia_(Montefalco),1,2013-02-26T00:00:00.000Z,0,FrescoBot
22,0,1,0,22,no_geo,fr,article,0,Chiyoda_(croiseur),1,2013-02-26T00:00:00.000Z,0,MerlIwBot
1,1,1,0,1,known,es,article,0,Chris_Paul,0,2013-02-26T00:00:00.000Z,0,207.204.165.193
323,1,1,0,323,known,de,article,0,Circus_HalliGalli,0,2013-02-26T00:00:00.000Z,0,88.130.77.113
22,1,1,0,22,known,es,article,0,Claudio_Ptolomeo,0,2013-02-26T00:00:00.000Z,0,187.208.116.239
0,0,1,-211,-211,no_geo,en,article,0,Clinical_vampirism,1,2013-02-26T00:00:00.000Z,0,Addbot
42,1,1,0,42,known,es,article,0,Club_Atlético_Sarmiento_(Junín),0,2013-02-26T00:00:00.000Z,0,190.230.41.215
0,0,1,-213,-213,no_geo,en,article,0,Coast_Salish_peoples,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-187,-187,no_geo,en,article,0,COD_Meknès,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-21,-21,no_geo,es,article,0,Complemento_de_un_conjunto,0,2013-02-26T00:00:00.000Z,0,Edslov
0,0,1,-683,-683,no_geo,fr,article,0,Connantre,0,2013-02-26T00:00:00.000Z,0,Habertix
0,0,1,-200,-200,no_geo,en,article,0,Constraint_(mathematics),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-218,-218,no_geo,en,article,0,Convalescence,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-341,-341,no_geo,en,article,0,Cook_Islands_Round_Cup,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-166,-166,no_geo,en,article,0,Coroieni,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-183,-183,no_geo,en,article,0,Corpus_Aristotelicum,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-168,-168,no_geo,en,article,0,Corsair,1,2013-02-26T00:00:00.000Z,0,Addbot
240,1,1,0,240,known,en,article,0,Courtmacsherry,0,2013-02-26T00:00:00.000Z,0,79.140.208.82
0,0,1,-186,-186,no_geo,en,article,0,"Cowan,_Tennessee",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-207,-207,no_geo,en,article,0,CPU_(disambiguation),1,2013-02-26T00:00:00.000Z,0,Addbot
226,1,1,0,226,known,en,article,0,Crash_diet,0,2013-02-26T00:00:00.000Z,0,76.17.73.101
2161,0,1,0,2161,no_geo,sv,article,1,Creagrutus_seductus,1,2013-02-26T00:00:00.000Z,0,Lsjbot
0,0,1,-177,-177,no_geo,en,article,0,Crimson_Seedcracker,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-192,-192,no_geo,en,article,0,Cristian_Panin,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-308,-308,no_geo,en,article,0,Critical_mass_(disambiguation),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-217,-217,no_geo,en,article,0,Crocodile_Rock,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-140,-140,no_geo,en,article,0,Csősz,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-224,-224,no_geo,en,article,0,Cuban_Crow,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-121,-121,no_geo,en,article,0,Cucutilla,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,2,-85,-85,no_geo,es,article,0,Cultura_de_la_India,0,2013-02-26T00:00:00.000Z,0,Edslov
0,0,1,-166,-166,no_geo,en,article,0,Cuvée,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-180,-180,no_geo,en,article,0,CyberLink,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-828,-828,no_geo,en,article,0,Cycling_at_the_2012_Summer_Olympics_–_Men's_cross-country,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-268,-268,no_geo,en,article,0,Cyclotomic_field,1,2013-02-26T00:00:00.000Z,0,Addbot
66,0,1,0,66,no_geo,sv,article,1,Cynopotamus_biserialis,1,2013-02-26T00:00:00.000Z,0,Lsjbot
0,0,1,-109,-109,no_geo,en,article,0,D4,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-304,-304,no_geo,en,article,0,Dacia_Maraini,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-408,-408,no_geo,en,article,0,Dadabhai_Naoroji,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-131,-131,no_geo,en,article,0,"Dág,_Hungary",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-218,-218,no_geo,en,article,0,Daisuke_Ichikawa,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-309,-309,no_geo,en,article,0,Dakhla_Oasis,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-268,-268,no_geo,en,article,0,Dalbergia_sissoo,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-260,-260,no_geo,en,article,0,Dalian_Metro,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-261,-261,no_geo,en,article,0,Dalmacio_Langarica,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-230,-230,no_geo,en,article,0,Danaë_(disambiguation),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-184,-184,no_geo,en,article,0,Dana_White,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-339,-339,no_geo,en,article,0,Dance_therapy,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-146,-146,no_geo,en,article,0,Dane_Zajc,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-326,-326,no_geo,en,article,0,Danica_McKellar,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-193,-193,no_geo,en,article,0,Daniele_Suzuki,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-177,-177,no_geo,en,article,0,Daniel_Örlund,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-271,-271,no_geo,en,article,0,Danishmend_Gazi,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-210,-210,no_geo,en,article,0,Dani_Karavan,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-211,-211,no_geo,en,article,0,Danny_Boy,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-243,-243,no_geo,en,article,0,Dano-Swedish_War_(1658–1660),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-271,-271,no_geo,en,article,0,Danube_Bridge_2,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-197,-197,no_geo,en,article,0,Dan_White,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-226,-226,no_geo,en,article,0,DarkBASIC,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-186,-186,no_geo,en,article,0,Dark_Ages_(album),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-435,-435,no_geo,en,article,0,"Darlington,_South_Carolina",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-190,-190,no_geo,en,article,0,Darrell_Arthur,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-237,-237,no_geo,en,article,0,Daru_of_Baekje,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-359,-359,no_geo,en,article,0,Darya_Nikolayevna_Saltykova,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-291,-291,no_geo,en,article,0,"Dauphin,_Manitoba",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-171,-171,no_geo,en,article,0,"Davey,_Nebraska",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-310,-310,no_geo,en,article,0,Dave_Grusin,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-267,-267,no_geo,en,article,0,Dave_Sexton,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-413,-413,no_geo,en,article,0,David_,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-180,-180,no_geo,en,article,0,David_Beauchard,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-316,-316,no_geo,en,article,0,David_Cassidy,1,2013-02-26T00:00:00.000Z,0,Addbot
59,0,1,0,59,no_geo,en,article,0,David_Koresh,0,2013-02-26T00:00:00.000Z,0,Drmies
0,0,1,-312,-312,no_geo,en,article,0,David_Martin_(footballer_born_1986),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-171,-171,no_geo,en,article,0,David_Nyathi,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-321,-321,no_geo,en,article,0,David_Riesman,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-302,-302,no_geo,en,article,0,David_Storl,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-365,-365,no_geo,en,article,0,David_Warren_(inventor),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-288,-288,no_geo,en,article,0,Davis_Guggenheim,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-171,-171,no_geo,en,article,0,Dazkırı,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-191,-191,no_geo,en,article,0,DC_Talk,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-261,-261,no_geo,en,article,0,Dead_Letters,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-149,-149,no_geo,en,article,0,Dealu,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-178,-178,no_geo,en,article,0,Dean_Shiels,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-363,-363,no_geo,en,article,0,Deaths_in_2000,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-460,-460,no_geo,en,article,0,Death_Comes_as_the_End,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-403,-403,no_geo,en,article,0,Death_of_Shane_Todd,0,2013-02-26T00:00:00.000Z,0,LlamaAl
0,0,1,-276,-276,no_geo,en,article,0,Debbie_Meyer,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-435,-435,no_geo,en,article,0,Declaration_of_Pillnitz,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-332,-332,no_geo,en,article,0,Dédestapolcsány,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-432,-432,no_geo,en,article,0,Deep-sea_gigantism,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-341,-341,no_geo,en,article,0,Deep_sea_mining,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-297,-297,no_geo,en,article,0,"Deer_Park,_Washington",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-276,-276,no_geo,en,article,0,Defective_pixel,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-326,-326,no_geo,en,article,0,Defoliant,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-350,-350,no_geo,en,article,0,Delalande's_Coua,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-211,-211,no_geo,en,article,0,Deletionpedia,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-178,-178,no_geo,en,article,0,Delict,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-190,-190,no_geo,en,article,0,"Delmar,_Maryland",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-270,-270,no_geo,en,article,0,"Delta,_Iowa",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-356,-356,no_geo,en,article,0,Delta_Force_(video_game),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-189,-189,no_geo,en,article,0,Demak_Sultanate,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-222,-222,no_geo,en,article,0,Demetre_Chiparus,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-571,-571,no_geo,en,article,0,Democratic_Party_of_Pensioners_of_Slovenia,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-390,-390,no_geo,en,article,0,Demographics_of_Belarus,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-513,-513,no_geo,en,article,0,Demographics_of_the_European_Union,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-336,-336,no_geo,en,article,0,Demon_King_Daimao,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-191,-191,no_geo,en,article,0,Dendragapus,1,2013-02-26T00:00:00.000Z,0,Addbot
34,0,1,0,34,no_geo,nl,article,0,Dendryphantes_aethiopicus,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
34,0,1,0,34,no_geo,vi,article,0,Dendryphantes_caporiaccoi,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
33,0,1,0,33,no_geo,vi,article,0,Dendryphantes_hararensis,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
35,0,1,0,35,no_geo,vi,article,0,Dendryphantes_ovchinnikovi,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
34,0,1,0,34,no_geo,sv,article,0,Dendryphantes_sexguttatus,1,2013-02-26T00:00:00.000Z,0,MerlIwBot
0,0,1,-253,-253,no_geo,en,article,0,Dengizich,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-226,-226,no_geo,en,article,0,Denis_Johnson,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-233,-233,no_geo,en,article,0,Dennis_Nilsen,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-174,-174,no_geo,en,article,0,Denov,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-185,-185,no_geo,en,article,0,Denton,1,2013-02-26T00:00:00.000Z,0,Addbot
24,0,1,0,24,no_geo,no,article,0,Den_mongoloide_rase,1,2013-02-26T00:00:00.000Z,0,Makecat-bot
0,0,1,-198,-198,no_geo,en,article,0,Deoxy_sugar,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-321,-321,no_geo,en,article,0,Depletion_region,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-312,-312,no_geo,en,article,0,Depression_(economics),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-277,-277,no_geo,en,article,0,Derazhnia,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-316,-316,no_geo,en,article,0,Derrick_Adkins,1,2013-02-26T00:00:00.000Z,0,Addbot
9,0,1,0,9,no_geo,de,article,0,Der_längste_Kita-Tag,0,2013-02-26T00:00:00.000Z,0,Seth Cohen
0,0,1,-285,-285,no_geo,en,article,0,Description_de_l'Égypte,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-356,-356,no_geo,en,article,0,Desiderio_da_Settignano,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-401,-401,no_geo,en,article,0,Desktop_search,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-221,-221,no_geo,en,article,0,Desolation_Row,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-275,-275,no_geo,en,article,0,Despotovac,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-274,-274,no_geo,en,article,0,Destroy_All_Humans!,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-4,-4,no_geo,de,article,0,Deutsche_Kriegsversehrte_im_20._Jahrhundert,0,2013-02-26T00:00:00.000Z,0,Paul Krummbiegel
0,0,1,-350,-350,no_geo,en,article,0,"De_Graff,_Minnesota",1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-413,-413,no_geo,en,article,0,Dhule_district,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-210,-210,no_geo,en,article,0,Diadectes,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-367,-367,no_geo,en,article,0,Dialogues_of_the_Carmelites,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-198,-198,no_geo,en,article,0,Diamond_Firetail,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-311,-311,no_geo,en,article,0,Diane_Cilento,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-332,-332,no_geo,en,article,0,Diaphragm_(optics),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-205,-205,no_geo,en,article,0,Diazo,1,2013-02-26T00:00:00.000Z,0,Addbot
47,0,1,0,47,no_geo,es,article,0,Diego_de_la_Cueva_y_Toledo,0,2013-02-26T00:00:00.000Z,0,Romerin
0,0,1,-217,-217,no_geo,en,article,0,Dietrich_Stobbe,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-358,-358,no_geo,en,article,0,Diffuser_(automotive),1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-285,-285,no_geo,en,article,0,Digital_audio_editor,1,2013-02-26T00:00:00.000Z,0,Addbot
0,0,1,-222,-222,no_geo,en,article,0,Digital_Spy,1,2013-02-26T00:00:00.000Z,0,Addbot
