happy,year,age,sex,marital,degree,finrela,health,wtssall
very happy,1993,31,male,never married,high school,average,good,0.5285
pretty happy,1993,20,male,never married,high school,average,NA,2.1142
pretty happy,1993,28,male,married,graduate,average,excellent,1.0571
very happy,1993,34,female,divorced,graduate,average,excellent,0.5285
very happy,1993,45,female,divorced,high school,below average,excellent,0.5285
very happy,1993,35,female,divorced,bachelor,above average,NA,0.5285
very happy,1993,48,male,never married,bachelor,average,excellent,0.5285
not too happy,1993,47,female,married,high school,average,NA,1.5856
very happy,1993,39,male,divorced,graduate,average,excellent,1.0571
pretty happy,1993,20,male,never married,high school,average,good,2.1142
pretty happy,1993,27,female,married,high school,below average,excellent,1.0571
pretty happy,1993,36,male,never married,high school,below average,good,1.0571
pretty happy,1993,78,male,married,bachelor,average,excellent,1.0571
very happy,1993,42,female,never married,high school,below average,good,1.0571
not too happy,1993,31,female,married,bachelor,average,excellent,1.0571
very happy,1993,44,female,never married,bachelor,average,NA,1.5856
pretty happy,1993,39,male,married,high school,average,good,1.0571
not too happy,1993,19,female,never married,lt high school,far below average,good,0.5285
not too happy,1993,37,female,married,high school,below average,NA,1.0571
very happy,1993,48,female,married,bachelor,far above average,good,1.5856
not too happy,1993,39,female,married,high school,above average,NA,1.0571
pretty happy,1993,45,male,married,high school,above average,excellent,1.5856
very happy,1993,46,male,married,graduate,far above average,excellent,1.0571
very happy,1993,23,female,never married,bachelor,above average,excellent,1.5856
very happy,1993,37,female,married,bachelor,far above average,excellent,1.0571
pretty happy,1993,27,male,never married,high school,average,good,1.0571
pretty happy,1993,23,female,never married,bachelor,average,good,1.0571
pretty happy,1993,31,male,married,bachelor,below average,fair,1.0571
pretty happy,1993,30,female,married,junior college,above average,excellent,1.0571
pretty happy,1993,77,male,married,bachelor,average,fair,1.0571
very happy,1993,41,male,married,high school,average,excellent,1.5856
very happy,1993,70,female,widowed,lt high school,below average,excellent,0.5285
pretty happy,1993,81,male,widowed,lt high school,far below average,NA,0.5285
not too happy,1993,41,male,married,high school,average,NA,1.0571
pretty happy,1993,41,female,divorced,high school,far below average,fair,0.5285
not too happy,1993,69,female,widowed,lt high school,far below average,NA,1.0571
not too happy,1993,41,female,never married,high school,below average,good,1.5856
pretty happy,1993,32,female,married,lt high school,average,fair,0.5285
pretty happy,1993,29,female,married,junior college,average,NA,1.0571
not too happy,1993,51,female,never married,high school,below average,good,0.5285
pretty happy,1993,35,male,married,bachelor,average,NA,1.0571
pretty happy,1993,36,male,married,high school,above average,good,1.5856
pretty happy,1993,41,male,married,high school,far below average,NA,1.0571
pretty happy,1993,62,female,never married,bachelor,far below average,fair,0.5285
pretty happy,1993,44,male,married,high school,above average,NA,1.0571
pretty happy,1993,64,female,married,high school,below average,good,1.0571
pretty happy,1993,49,male,married,high school,below average,good,1.0571
pretty happy,1993,62,female,never married,high school,average,good,0.5285
very happy,1993,62,female,married,graduate,above average,NA,1.0571
pretty happy,1993,49,female,married,high school,average,good,1.0571
not too happy,1993,49,female,divorced,junior college,average,excellent,0.5285
very happy,1993,45,male,married,graduate,above average,NA,1.0571
pretty happy,1993,75,male,widowed,bachelor,average,good,0.5285
very happy,1993,75,male,married,bachelor,average,fair,1.0571
pretty happy,1993,18,male,never married,lt high school,average,good,1.0571
pretty happy,1993,31,male,never married,bachelor,average,good,1.0571
very happy,1993,27,female,never married,lt high school,average,excellent,1.0571
very happy,1993,45,male,married,high school,average,good,1.0571
pretty happy,1993,27,male,married,bachelor,above average,good,1.0571
pretty happy,1993,31,male,married,bachelor,above average,good,1.0571
pretty happy,1993,28,male,never married,high school,average,NA,0.5285
pretty happy,1993,52,male,married,high school,below average,NA,1.0571
pretty happy,1993,69,male,married,lt high school,average,NA,1.0571
very happy,1993,43,male,married,high school,above average,good,1.0571
not too happy,1993,28,male,married,bachelor,above average,good,1.0571
pretty happy,1993,52,female,married,junior college,average,poor,1.0571
pretty happy,1993,41,female,married,junior college,average,good,1.0571
very happy,1993,37,female,married,bachelor,above average,NA,1.0571
very happy,1993,36,female,married,high school,average,NA,1.0571
pretty happy,1993,24,female,married,high school,average,good,1.0571
pretty happy,1993,51,male,married,graduate,above average,excellent,1.0571
very happy,1993,57,male,married,bachelor,above average,excellent,1.0571
pretty happy,1993,72,male,married,bachelor,above average,NA,1.0571
pretty happy,1993,45,female,married,graduate,above average,NA,1.0571
very happy,1993,32,male,married,graduate,above average,excellent,1.0571
pretty happy,1993,64,female,married,junior college,above average,NA,1.0571
pretty happy,1993,63,female,widowed,high school,below average,poor,1.0571
very happy,1993,50,male,never married,junior college,average,NA,0.5285
very happy,1993,71,female,widowed,lt high school,average,poor,0.5285
pretty happy,1993,59,male,widowed,high school,below average,NA,0.5285
not too happy,1993,30,male,never married,bachelor,average,good,2.1142
pretty happy,1993,37,female,married,high school,below average,NA,1.0571
not too happy,1993,54,female,married,lt high school,below average,good,1.0571
very happy,1993,43,male,married,lt high school,average,good,1.0571
very happy,1993,NA,male,NA,bachelor,average,excellent,0.5285
very happy,1993,62,female,married,high school,average,NA,1.5856
very happy,1993,60,female,married,high school,average,excellent,1.0571
pretty happy,1993,60,male,married,high school,above average,good,1.0571
very happy,1993,46,female,married,bachelor,NA,excellent,1.0571
not too happy,1993,28,female,married,high school,far below average,fair,1.0571
pretty happy,1993,30,female,divorced,high school,below average,NA,1.0571
very happy,1993,27,male,married,high school,average,excellent,1.0571
pretty happy,1993,45,female,divorced,high school,average,good,1.5856
pretty happy,1993,51,male,married,bachelor,below average,good,1.0571
very happy,1993,38,male,married,bachelor,above average,excellent,1.0571
pretty happy,1993,44,male,married,graduate,below average,excellent,1.5856
pretty happy,1993,40,male,married,graduate,above average,excellent,1.0571
very happy,1993,50,female,married,high school,average,NA,1.0571
very happy,1993,51,male,married,high school,average,excellent,1.0571
pretty happy,1993,40,female,married,high school,average,NA,1.0571
very happy,1993,34,female,married,high school,average,NA,1.0571
pretty happy,1993,54,female,widowed,high school,below average,good,0.5285
very happy,1993,59,male,married,graduate,below average,good,1.0571
very happy,1993,36,male,never married,high school,above average,excellent,0.5285
pretty happy,1993,35,male,married,high school,NA,fair,1.0571
pretty happy,1993,30,female,married,high school,average,NA,1.0571
very happy,1993,34,female,married,bachelor,average,good,1.0571
pretty happy,1993,32,male,married,high school,below average,NA,1.5856
very happy,1993,73,female,widowed,high school,above average,excellent,0.5285
pretty happy,1993,66,male,married,bachelor,far below average,NA,1.0571
pretty happy,1993,33,female,never married,bachelor,above average,NA,0.5285
very happy,1993,38,female,married,bachelor,above average,NA,1.0571
very happy,1993,49,female,married,graduate,NA,good,1.0571
pretty happy,1993,56,male,never married,graduate,above average,excellent,1.0571
pretty happy,1993,55,male,married,graduate,above average,good,1.0571
pretty happy,1993,61,female,married,graduate,average,NA,1.0571
pretty happy,1993,34,male,never married,bachelor,average,excellent,1.0571
pretty happy,1993,43,female,never married,bachelor,below average,excellent,0.5285
pretty happy,1993,37,female,married,bachelor,above average,NA,1.0571
pretty happy,1993,48,male,married,graduate,above average,good,1.0571
very happy,1993,43,female,separated,bachelor,above average,excellent,0.5285
very happy,1993,65,male,married,high school,average,excellent,1.0571
pretty happy,1993,35,male,separated,lt high school,average,good,0.5285
very happy,1993,82,female,widowed,high school,NA,excellent,0.5285
pretty happy,1993,62,female,married,high school,average,fair,1.0571
very happy,1993,59,female,widowed,high school,far below average,excellent,0.5285
pretty happy,1993,38,male,divorced,high school,above average,excellent,0.5285
not too happy,1993,43,female,married,high school,below average,good,1.0571
pretty happy,1993,31,male,married,high school,below average,good,1.0571
very happy,1993,30,female,married,high school,above average,excellent,1.0571
not too happy,1993,40,male,never married,bachelor,average,good,0.5285
pretty happy,1993,27,male,never married,bachelor,average,good,0.5285
very happy,1993,52,male,divorced,bachelor,average,excellent,0.5285
pretty happy,1993,32,female,married,high school,above average,good,1.0571
very happy,1993,70,male,married,high school,above average,good,1.0571
very happy,1993,55,female,married,high school,average,NA,1.0571
very happy,1993,53,female,married,bachelor,average,excellent,1.0571
pretty happy,1993,35,female,divorced,high school,far below average,excellent,1.0571
very happy,1993,NA,female,widowed,graduate,below average,NA,0.5285
very happy,1993,30,female,married,high school,average,NA,1.0571
not too happy,1993,79,female,widowed,lt high school,average,fair,0.5285
not too happy,1993,72,female,widowed,lt high school,below average,poor,0.5285
pretty happy,1993,81,female,widowed,lt high school,below average,fair,0.5285
pretty happy,1993,76,female,widowed,lt high school,average,good,0.5285
very happy,1993,30,male,married,junior college,average,excellent,1.0571
very happy,1993,45,female,married,high school,above average,good,1.5856
pretty happy,1993,34,male,divorced,high school,average,excellent,1.0571
very happy,1993,71,male,married,high school,average,NA,1.0571
pretty happy,1993,43,female,married,bachelor,average,good,1.0571
not too happy,1993,37,male,married,graduate,average,NA,1.0571
pretty happy,1993,35,female,married,high school,average,NA,1.0571
not too happy,1993,80,female,widowed,high school,average,fair,0.5285
pretty happy,1993,75,female,married,high school,average,fair,1.5856
pretty happy,1993,67,male,married,high school,average,NA,1.0571
pretty happy,1993,42,female,married,high school,average,NA,1.0571
pretty happy,1993,76,female,widowed,high school,average,NA,1.0571
very happy,1993,67,female,married,graduate,average,NA,1.0571
pretty happy,1993,55,female,never married,high school,average,fair,0.5285
pretty happy,1993,66,male,widowed,graduate,above average,NA,0.5285
very happy,1993,69,male,married,bachelor,average,NA,1.0571
very happy,1993,57,female,divorced,junior college,above average,excellent,0.5285
very happy,1993,57,female,married,graduate,above average,excellent,1.0571
pretty happy,1993,85,female,widowed,lt high school,average,good,0.5285
very happy,1993,74,female,divorced,junior college,above average,NA,0.5285
pretty happy,1993,36,male,never married,bachelor,above average,good,0.5285
pretty happy,1993,32,female,married,graduate,above average,good,1.0571
pretty happy,1993,46,male,married,graduate,above average,NA,1.0571
very happy,1993,30,female,married,high school,average,good,0.5285
pretty happy,1993,59,female,married,high school,above average,good,1.0571
very happy,1993,39,male,married,bachelor,above average,excellent,1.0571
very happy,1993,49,female,divorced,high school,average,excellent,0.5285
very happy,1993,51,female,divorced,high school,below average,NA,0.5285
pretty happy,1993,73,female,widowed,lt high school,far below average,NA,1.0571
pretty happy,1993,47,male,married,lt high school,far below average,poor,1.0571
pretty happy,1993,53,male,married,graduate,average,good,1.0571
very happy,1993,41,female,married,high school,average,good,1.0571
pretty happy,1993,38,male,divorced,lt high school,below average,NA,1.5856
very happy,1993,54,female,married,high school,above average,excellent,1.0571
very happy,1993,58,male,married,graduate,above average,NA,1.5856
pretty happy,1993,52,male,married,high school,far above average,NA,1.0571
pretty happy,1993,33,female,married,high school,average,NA,1.0571
very happy,1993,71,female,widowed,lt high school,average,excellent,1.0571
pretty happy,1993,59,female,married,high school,average,NA,1.0571
very happy,1993,33,female,married,high school,above average,excellent,1.0571
pretty happy,1993,50,male,married,high school,above average,poor,1.0571
pretty happy,1993,51,female,married,high school,above average,good,1.5856
very happy,1993,60,female,married,high school,above average,excellent,1.0571
pretty happy,1993,69,female,married,high school,average,fair,1.0571
not too happy,1993,41,female,married,bachelor,above average,NA,1.5856
very happy,1993,49,male,married,bachelor,average,excellent,0.5285
pretty happy,1993,57,male,never married,high school,above average,good,0.5285
pretty happy,1993,77,female,widowed,lt high school,above average,poor,1.5856
very happy,1993,50,female,married,high school,average,NA,2.1142
very happy,1993,41,female,married,high school,above average,good,0.5285
pretty happy,1993,50,female,widowed,bachelor,average,NA,0.5285
very happy,1993,53,female,married,high school,below average,NA,2.1142
pretty happy,1993,34,male,married,bachelor,above average,excellent,1.0571
pretty happy,1993,47,female,married,high school,average,excellent,1.5856
pretty happy,1993,45,female,married,junior college,below average,good,1.5856
very happy,1993,35,male,married,graduate,average,excellent,1.0571
pretty happy,1993,72,male,married,lt high school,below average,excellent,1.0571
pretty happy,1993,37,male,married,junior college,average,good,1.0571
not too happy,1993,41,female,separated,bachelor,below average,NA,0.5285
pretty happy,1993,27,female,never married,high school,above average,fair,0.5285
very happy,1993,27,female,never married,bachelor,above average,good,0.5285
very happy,1993,50,male,married,junior college,above average,NA,1.0571
pretty happy,1993,28,male,married,bachelor,average,excellent,1.0571
pretty happy,1993,31,male,married,bachelor,above average,good,1.0571
not too happy,1993,51,male,never married,high school,average,good,0.5285
not too happy,1993,25,female,never married,lt high school,below average,NA,0.5285
not too happy,1993,41,male,married,lt high school,average,fair,1.0571
very happy,1993,26,male,never married,high school,average,NA,0.5285
pretty happy,1993,20,female,never married,high school,below average,NA,2.1142
pretty happy,1993,21,female,never married,high school,average,fair,1.5856
pretty happy,1993,43,male,married,bachelor,above average,excellent,2.1142
very happy,1993,44,male,married,bachelor,above average,excellent,1.0571
pretty happy,1993,43,female,married,high school,above average,NA,1.0571
very happy,1993,39,male,married,high school,above average,excellent,1.0571
pretty happy,1993,54,female,married,bachelor,above average,good,1.0571
pretty happy,1993,47,female,divorced,high school,average,good,0.5285
very happy,1993,77,female,married,high school,average,fair,1.0571
pretty happy,1993,47,female,married,graduate,average,excellent,1.0571
very happy,1993,27,female,never married,lt high school,below average,good,0.5285
pretty happy,1993,39,male,married,lt high school,average,good,1.0571
pretty happy,1993,54,female,divorced,high school,below average,poor,0.5285
pretty happy,1993,44,female,divorced,high school,below average,excellent,0.5285
pretty happy,1993,27,female,never married,high school,far below average,NA,0.5285
pretty happy,1993,37,female,divorced,high school,below average,good,0.5285
pretty happy,1993,22,female,never married,high school,below average,NA,1.0571
very happy,1993,52,female,separated,lt high school,below average,NA,1.0571
very happy,1993,76,female,married,lt high school,average,excellent,1.0571
very happy,1993,54,female,divorced,high school,average,good,1.0571
pretty happy,1993,65,male,married,high school,above average,good,1.0571
very happy,1993,71,female,married,high school,average,good,1.0571
not too happy,1993,49,female,married,lt high school,far below average,poor,1.0571
pretty happy,1993,24,female,married,high school,above average,fair,1.0571
pretty happy,1993,43,male,married,high school,average,fair,1.0571
pretty happy,1993,41,male,married,high school,above average,good,1.5856
pretty happy,1993,41,female,divorced,high school,average,excellent,1.0571
not too happy,1993,46,female,married,high school,average,good,1.5856
pretty happy,1993,65,female,married,high school,above average,NA,1.0571
very happy,1993,33,male,never married,bachelor,average,excellent,1.0571
pretty happy,1993,33,female,separated,junior college,below average,good,0.5285
pretty happy,1993,45,female,married,high school,below average,NA,1.0571
pretty happy,1993,25,female,never married,bachelor,average,NA,1.0571
very happy,1993,24,male,never married,bachelor,below average,good,1.5856
pretty happy,1993,45,male,married,high school,average,fair,1.5856
pretty happy,1993,65,female,married,high school,below average,NA,1.0571
pretty happy,1993,44,male,never married,high school,average,NA,1.5856
pretty happy,1993,30,female,married,high school,average,good,1.0571
pretty happy,1993,72,male,married,lt high school,average,NA,1.0571
pretty happy,1993,46,female,divorced,high school,above average,excellent,0.5285
pretty happy,1993,64,female,married,high school,average,NA,1.0571
very happy,1993,75,male,divorced,high school,average,NA,0.5285
not too happy,1993,71,male,never married,bachelor,below average,NA,0.5285
pretty happy,1993,41,female,married,graduate,far below average,NA,1.0571
pretty happy,1993,69,female,married,high school,average,fair,1.0571
pretty happy,1993,37,male,married,graduate,above average,good,1.0571
very happy,1993,36,female,married,junior college,average,excellent,1.0571
very happy,1993,39,female,married,bachelor,average,excellent,1.0571
pretty happy,1993,52,male,married,bachelor,average,NA,1.0571
pretty happy,1993,44,male,married,junior college,average,good,2.1142
pretty happy,1993,21,male,never married,high school,average,good,1.5856
pretty happy,1993,42,female,married,high school,above average,NA,1.0571
pretty happy,1993,35,female,married,graduate,above average,good,1.0571
pretty happy,1993,26,male,married,high school,average,good,1.0571
pretty happy,1993,48,female,married,high school,average,excellent,1.5856
not too happy,1993,68,female,widowed,high school,average,fair,0.5285
pretty happy,1993,26,male,married,high school,below average,NA,1.0571
very happy,1993,25,male,married,junior college,average,good,1.0571
pretty happy,1993,36,male,divorced,high school,above average,good,1.0571
not too happy,1993,55,female,divorced,high school,far below average,poor,0.5285
pretty happy,1993,41,male,married,high school,above average,good,1.0571
not too happy,1993,43,male,divorced,high school,average,NA,0.5285
pretty happy,1993,66,female,widowed,high school,below average,excellent,0.5285
very happy,1993,42,female,married,graduate,average,excellent,1.0571
pretty happy,1993,29,female,married,bachelor,above average,excellent,1.0571
pretty happy,1993,41,female,divorced,bachelor,average,excellent,0.5285
very happy,1993,19,female,never married,lt high school,average,excellent,1.0571
not too happy,1993,47,male,married,graduate,above average,NA,1.0571
very happy,1993,49,male,divorced,high school,average,NA,0.5285
very happy,1993,58,male,married,high school,average,NA,1.0571
not too happy,1993,19,female,never married,high school,average,NA,1.5856
very happy,1993,35,male,married,high school,average,excellent,1.0571
not too happy,1993,30,female,married,high school,average,good,1.5856
pretty happy,1993,42,male,married,junior college,average,good,1.0571
very happy,1993,54,female,divorced,high school,average,excellent,0.5285
not too happy,1993,43,female,married,high school,below average,good,1.0571
very happy,1993,33,female,married,bachelor,average,NA,1.0571
pretty happy,1993,21,male,never married,high school,average,fair,1.5856
pretty happy,1993,26,male,married,high school,far below average,excellent,1.0571
very happy,1993,42,male,married,high school,above average,NA,1.0571
very happy,1993,34,male,married,bachelor,average,NA,1.0571
pretty happy,1993,25,female,divorced,high school,below average,fair,1.5856
very happy,1993,43,male,married,lt high school,above average,excellent,2.1142
pretty happy,1993,65,male,married,junior college,below average,excellent,1.0571
pretty happy,1993,20,male,never married,high school,below average,excellent,2.1142
pretty happy,1993,22,female,never married,high school,far below average,NA,2.1142
pretty happy,1993,23,female,never married,high school,above average,good,2.1142
pretty happy,1993,22,female,never married,junior college,above average,good,2.1142
pretty happy,1993,22,male,never married,high school,average,excellent,2.6427
very happy,1993,20,female,never married,high school,average,excellent,2.1142
pretty happy,1993,41,male,married,high school,average,fair,1.0571
very happy,1993,21,female,married,lt high school,far below average,NA,1.0571
pretty happy,1993,33,male,married,high school,average,NA,1.0571
very happy,1993,87,female,widowed,high school,below average,excellent,1.0571
pretty happy,1993,77,female,divorced,high school,average,NA,0.5285
pretty happy,1993,40,male,married,lt high school,below average,NA,1.0571
pretty happy,1993,25,male,never married,bachelor,above average,excellent,0.5285
very happy,1993,51,male,married,high school,average,excellent,1.5856
pretty happy,1993,32,female,married,high school,average,good,1.0571
very happy,1993,30,female,married,high school,average,good,1.0571
pretty happy,1993,86,male,widowed,lt high school,below average,poor,0.5285
very happy,1993,40,female,married,high school,above average,excellent,1.0571
pretty happy,1993,46,female,divorced,high school,average,NA,1.0571
very happy,1993,40,female,married,high school,above average,excellent,1.0571
very happy,1993,43,male,divorced,lt high school,far above average,NA,0.5285
very happy,1993,46,male,married,high school,above average,good,1.5856
very happy,1993,70,female,married,high school,average,NA,1.0571
pretty happy,1993,32,male,married,high school,average,NA,1.0571
very happy,1993,37,male,married,high school,above average,excellent,1.0571
pretty happy,1993,53,male,never married,high school,below average,NA,1.0571
very happy,1993,32,female,married,high school,below average,NA,1.0571
very happy,1993,52,male,married,lt high school,above average,NA,1.0571
pretty happy,1993,71,female,married,bachelor,average,good,1.0571
not too happy,1993,43,female,divorced,high school,far below average,fair,0.5285
very happy,1993,25,male,never married,high school,above average,good,1.0571
very happy,1993,46,male,married,high school,average,NA,2.1142
very happy,1993,66,female,married,high school,average,good,1.0571
not too happy,1993,42,male,divorced,high school,below average,fair,0.5285
pretty happy,1993,38,male,divorced,high school,below average,excellent,0.5285
pretty happy,1993,23,male,married,high school,below average,NA,1.0571
pretty happy,1993,59,female,married,lt high school,average,NA,1.5856
pretty happy,1993,35,female,married,high school,average,fair,1.0571
very happy,1993,62,male,married,high school,average,good,1.0571
pretty happy,1993,19,male,never married,lt high school,average,good,1.0571
very happy,1993,19,female,never married,lt high school,average,excellent,2.1142
pretty happy,1993,58,female,married,junior college,average,excellent,1.0571
very happy,1993,59,female,married,bachelor,average,NA,1.0571
very happy,1993,19,female,never married,lt high school,average,NA,1.0571
pretty happy,1993,68,female,married,lt high school,below average,poor,1.0571
pretty happy,1993,47,male,never married,high school,below average,poor,0.5285
pretty happy,1993,19,male,never married,lt high school,average,excellent,2.1142
pretty happy,1993,35,male,married,lt high school,average,good,1.0571
pretty happy,1993,44,female,divorced,high school,average,good,0.5285
very happy,1993,50,male,widowed,lt high school,average,good,1.0571
not too happy,1993,41,female,divorced,high school,average,good,0.5285
pretty happy,1993,38,female,married,junior college,average,good,1.0571
pretty happy,1993,36,female,married,graduate,above average,NA,1.0571
very happy,1993,43,male,married,high school,average,excellent,1.0571
not too happy,1993,35,female,separated,lt high school,NA,NA,0.5285
pretty happy,1993,25,male,never married,lt high school,below average,fair,1.5856
pretty happy,1993,25,male,never married,high school,below average,good,1.0571
not too happy,1993,25,female,married,junior college,average,excellent,1.0571
not too happy,1993,73,male,widowed,high school,far above average,NA,0.5285
pretty happy,1993,36,male,married,bachelor,average,good,1.0571
pretty happy,1993,35,male,married,high school,above average,good,1.0571
very happy,1993,67,female,married,high school,above average,NA,1.0571
very happy,1993,51,female,divorced,high school,average,NA,1.0571
not too happy,1993,58,female,divorced,high school,average,NA,0.5285
very happy,1993,40,female,married,high school,average,excellent,1.0571
pretty happy,1993,68,male,divorced,lt high school,far above average,NA,0.5285
pretty happy,1993,19,female,never married,lt high school,average,excellent,1.0571
pretty happy,1993,52,male,married,high school,average,excellent,1.5856
pretty happy,1993,40,male,married,lt high school,average,good,1.0571
very happy,1993,53,female,married,high school,average,excellent,2.1142
pretty happy,1993,63,female,married,junior college,average,NA,1.0571
very happy,1993,75,female,widowed,bachelor,average,excellent,0.5285
pretty happy,1993,38,female,divorced,high school,average,NA,0.5285
pretty happy,1993,38,female,divorced,junior college,average,NA,0.5285
pretty happy,1993,49,male,divorced,bachelor,below average,fair,0.5285
pretty happy,1993,50,female,married,junior college,average,good,1.5856
pretty happy,1993,78,female,widowed,high school,below average,good,0.5285
very happy,1993,57,male,married,lt high school,average,excellent,1.5856
not too happy,1993,69,female,widowed,high school,below average,poor,1.0571
pretty happy,1993,68,female,married,high school,average,NA,1.0571
pretty happy,1993,72,male,married,lt high school,average,NA,1.0571
very happy,1993,58,male,married,high school,average,NA,1.5856
very happy,1993,45,female,married,high school,average,good,2.1142
pretty happy,1993,20,male,never married,high school,below average,excellent,2.1142
very happy,1993,78,male,married,lt high school,below average,good,1.0571
pretty happy,1993,52,male,widowed,junior college,far below average,poor,0.5285
very happy,1993,39,male,married,junior college,average,excellent,1.0571
pretty happy,1993,81,female,widowed,high school,average,NA,1.5856
pretty happy,1993,36,female,divorced,high school,below average,NA,0.5285
pretty happy,1993,51,female,married,lt high school,below average,fair,1.0571
pretty happy,1993,78,female,widowed,bachelor,below average,NA,0.5285
pretty happy,1993,25,female,married,high school,average,fair,1.0571
pretty happy,1993,41,female,divorced,high school,far below average,good,0.5285
pretty happy,1993,36,male,married,graduate,average,good,1.0571
very happy,1993,33,female,married,bachelor,above average,excellent,1.0571
pretty happy,1993,51,male,married,high school,above average,good,1.0571
very happy,1993,47,female,married,junior college,average,excellent,1.5856
very happy,1993,21,female,never married,high school,above average,excellent,1.5856
very happy,1993,59,female,married,high school,average,excellent,1.0571
pretty happy,1993,34,male,married,high school,above average,good,1.0571
pretty happy,1993,23,female,married,lt high school,below average,good,1.0571
pretty happy,1993,76,male,married,lt high school,average,NA,1.0571
very happy,1993,40,female,married,high school,average,good,1.0571
very happy,1993,38,female,married,high school,below average,fair,1.0571
pretty happy,1993,66,female,widowed,high school,below average,fair,0.5285
very happy,1993,73,female,widowed,lt high school,average,good,0.5285
pretty happy,1993,80,male,never married,lt high school,average,NA,0.5285
not too happy,1993,57,female,divorced,lt high school,far below average,NA,0.5285
very happy,1993,78,female,widowed,lt high school,average,good,0.5285
pretty happy,1993,66,female,never married,high school,below average,fair,0.5285
very happy,1993,88,male,widowed,high school,above average,good,0.5285
very happy,1993,58,female,married,high school,average,NA,1.5856
pretty happy,1993,39,male,never married,high school,average,NA,1.0571
pretty happy,1993,31,female,divorced,high school,far below average,NA,1.0571
very happy,1993,51,female,married,bachelor,average,NA,1.5856
pretty happy,1993,37,male,married,bachelor,below average,excellent,1.0571
pretty happy,1993,32,female,married,high school,below average,good,1.0571
very happy,1993,73,female,widowed,lt high school,below average,fair,0.5285
pretty happy,1993,47,male,married,bachelor,average,NA,1.0571
very happy,1993,71,female,widowed,bachelor,above average,good,1.5856
not too happy,1993,42,male,divorced,junior college,far below average,excellent,0.5285
pretty happy,1993,75,female,widowed,high school,average,fair,0.5285
pretty happy,1993,72,female,divorced,lt high school,average,poor,0.5285
very happy,1993,63,female,married,bachelor,above average,NA,1.0571
pretty happy,1993,89,female,widowed,lt high school,average,NA,0.5285
pretty happy,1993,49,male,married,lt high school,far below average,fair,1.5856
pretty happy,1993,64,male,married,high school,average,excellent,1.0571
very happy,1993,64,female,married,high school,below average,NA,1.5856
pretty happy,1993,46,male,married,high school,average,good,1.0571
not too happy,1993,76,female,widowed,lt high school,average,poor,0.5285
pretty happy,1993,72,female,married,high school,average,fair,1.0571
pretty happy,1993,77,female,widowed,high school,average,NA,0.5285
pretty happy,1993,46,female,divorced,high school,far below average,NA,0.5285
pretty happy,1993,24,male,never married,high school,far below average,excellent,1.0571
very happy,1993,27,female,married,junior college,average,excellent,1.0571
pretty happy,1993,21,female,married,high school,below average,fair,1.0571
pretty happy,1993,32,female,never married,bachelor,below average,good,0.5285
